上海市	191499
上海市	353560
上海市	514725
上海市	1059899
上海市	713695
上海市	735931
上海市	67897
上海市	1039919
上海市	944554
上海市	107407
云南	191499
云南	1059899
云南	349999
云南	1010145
云南	655904
云南	48664
云南	147751
云南	496758
云南	81360
云南	181387
内蒙古	191499
内蒙古	353560
内蒙古	770668
内蒙古	1039919
内蒙古	358797
内蒙古	226595
内蒙古	713695
内蒙古	1059899
内蒙古	289564
内蒙古	698879
北京市	191499
北京市	1059899
北京市	514725
北京市	944554
北京市	698879
北京市	28895
北京市	81360
北京市	492131
北京市	29104
北京市	181387
台湾	191499
台湾	349999
台湾	353560
台湾	1024557
台湾	315345
台湾	770668
台湾	441588
台湾	944554
台湾	221663
台湾	713695
吉林	1059899
吉林	3001
吉林	191499
吉林	353560
吉林	107407
吉林	655904
吉林	1039919
吉林	822352
吉林	783997
吉林	28186
四川	514725
四川	191499
四川	209821
四川	1059899
四川	783997
四川	221663
四川	893999
四川	934988
四川	353560
四川	981145
天津市	1059899
天津市	783997
天津市	191499
天津市	317073
天津市	1100222
天津市	493761
天津市	3001
天津市	823766
天津市	698879
天津市	864005
宁夏	713695
宁夏	318890
宁夏	783801
宁夏	191499
宁夏	28895
宁夏	181387
宁夏	67897
宁夏	335720
宁夏	201361
宁夏	213297
安徽	353560
安徽	186456
安徽	676215
安徽	823766
安徽	1059899
安徽	801860
安徽	100215
安徽	554408
安徽	636863
安徽	514725
山东	823766
山东	713695
山东	1059899
山东	221663
山东	191499
山东	783997
山东	186456
山东	353560
山东	981145
山东	81901
山西	191499
山西	713695
山西	221663
山西	353560
山西	559647
山西	936203
山西	1059899
山西	539608
山西	349999
山西	654894
广东	926069
广东	181387
广东	110347
广东	713695
广东	1039919
广东	514725
广东	1059899
广东	191499
广东	353560
广东	981145
广西	221663
广西	936203
广西	353560
广西	889095
广西	191499
广西	671759
广西	783997
广西	676215
广西	773802
广西	441588
新疆	1059899
新疆	349999
新疆	353560
新疆	110347
新疆	1106283
新疆	107407
新疆	315345
新疆	676215
新疆	923423
新疆	713695
江苏	191499
江苏	181387
江苏	1039919
江苏	655904
江苏	889095
江苏	110347
江苏	944554
江苏	272605
江苏	203050
江苏	9105
江西	191499
江西	698879
江西	349999
江西	107407
江西	181387
江西	229233
江西	676215
江西	514725
江西	713695
江西	783997
河北	191499
河北	353560
河北	713695
河北	349999
河北	213297
河北	82431
河北	67897
河北	926069
河北	315345
河北	1059899
河南	191499
河南	1059899
河南	713695
河南	353560
河南	316514
河南	735931
河南	48664
河南	203050
河南	981145
河南	436252
浙江	1059899
浙江	191499
浙江	107407
浙江	349999
浙江	48664
浙江	81360
浙江	213297
浙江	514725
浙江	783997
浙江	221663
海南	1059899
海南	191499
海南	514725
海南	353560
海南	513855
海南	28895
海南	678194
海南	997751
海南	770668
海南	448467
湖北	81360
湖北	107407
湖北	191499
湖北	655904
湖北	353560
湖北	823766
湖北	147751
湖北	981872
湖北	982357
湖北	846908
湖南	191499
湖南	81901
湖南	992011
湖南	107407
湖南	1059899
湖南	823766
湖南	1039919
湖南	67897
湖南	353560
湖南	181387
澳门	353560
澳门	936203
澳门	1059899
澳门	191499
澳门	3001
澳门	349999
澳门	952198
澳门	783997
澳门	203050
澳门	698879
甘肃	353560
甘肃	107675
甘肃	813135
甘肃	181387
甘肃	191499
甘肃	28895
甘肃	28186
甘肃	514725
甘肃	772645
甘肃	856368
福建	783997
福建	67897
福建	713695
福建	100215
福建	823766
福建	836076
福建	1059899
福建	179830
福建	141675
福建	201405
西藏	191499
西藏	353560
西藏	1059899
西藏	783997
西藏	315345
西藏	713695
西藏	221663
西藏	698879
西藏	936203
西藏	655904
贵州	179830
贵州	936203
贵州	783997
贵州	713695
贵州	823766
贵州	28895
贵州	343432
贵州	353560
贵州	191499
贵州	487805
辽宁	698879
辽宁	936203
辽宁	783997
辽宁	655904
辽宁	886674
辽宁	770668
辽宁	514725
辽宁	713695
辽宁	823766
辽宁	1059899
重庆市	191499
重庆市	713695
重庆市	936203
重庆市	186456
重庆市	49881
重庆市	655904
重庆市	157763
重庆市	843392
重庆市	179830
重庆市	483836
陕西	191499
陕西	353560
陕西	514725
陕西	936203
陕西	221663
陕西	107407
陕西	1091980
陕西	28895
陕西	181387
陕西	783997
青海	353560
青海	944554
青海	221663
青海	81360
青海	800025
青海	191499
青海	18090
青海	1025501
青海	454937
青海	1075577
香港	936203
香港	110347
香港	107407
香港	89953
香港	713695
香港	276750
香港	191499
香港	1059899
香港	926069
香港	255004
黑龙江	191499
黑龙江	353560
黑龙江	823766
黑龙江	1073932
黑龙江	783997
黑龙江	1039919
黑龙江	722301
黑龙江	256896
黑龙江	328160
黑龙江	272605
